City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,sao paulo de olivenca,-3.3783,-68.8725,295.65,100,100,0.52,BR,1683793331
113,vila franca do campo,37.7167,-25.4333,289.38,87,89,2.81,PT,1683793332
114,goulburn,-34.75,149.7167,282.23,74,0,2.0,AU,1683793332
115,port mathurin,-19.6833,63.4167,298.74,73,83,9.44,MU,1683793333
116,iskateley,67.6803,53.1512,273.28,92,100,5.47,RU,1683793333
117,howrah,22.5892,88.3103,311.15,44,68,4.12,IN,1683793334
118,santa elena de uairen,4.6167,-61.1333,291.47,95,100,0.96,VE,1683793334
119,tura,25.5198,90.2201,310.45,23,20,2.73,IN,1683793335
120,jiagedaqi,50.4167,124.1167,297.69,17,88,5.27,CN,1683793336
121,vila velha,-20.3297,-40.2925,296.12,89,75,2.57,BR,1683793336
122,olyokminsk,60.3736,120.4264,278.27,50,100,2.59,RU,1683793337
123,sabang,5.8933,95.3214,302.3,68,73,0.54,ID,1683793337
124,brokopondo,4.75,-55.1667,296.74,94,99,1.19,SR,1683793338
125,vorgashor,67.5833,63.95,267.84,83,92,1.64,RU,1683793339
126,al kharijah,25.4514,30.5464,308.03,9,0,6.46,EG,1683793339
127,debre mark'os,10.35,37.7333,294.19,34,81,1.69,ET,1683793340
128,port alfred,-33.5906,26.891,294.92,77,5,3.13,ZA,1683793341
129,dryden,49.7833,-92.7503,284.31,100,75,2.57,CA,1683793256
130,bhum,18.4667,75.6667,313.01,10,55,4.6,IN,1683793342
131,nyagan,62.1406,65.3936,280.14,42,100,3.27,RU,1683793343
132,lucapa,-8.4192,20.7447,297.59,41,1,2.2,AO,1683793344
133,sampit,-2.5333,112.95,308.24,44,44,0.98,ID,1683793344
134,constantia,44.1833,28.65,287.53,62,0,4.97,RO,1683793345
135,albany,42.6001,-73.9662,283.28,74,35,1.34,US,1683793346
136,dunedin,-45.8742,170.5036,280.82,76,98,6.26,NZ,1683793346
137,yuzhno-kurilsk,44.0306,145.8556,276.52,81,22,6.62,RU,1683793347
138,carutapera,-1.195,-46.02,297.34,94,30,1.94,BR,1683793347
139,chonchi,-42.6128,-73.8092,285.99,99,84,1.01,CL,1683793348
140,miracema do tocantins,-9.5618,-48.3967,296.83,78,87,1.76,BR,1683793349
141,ar raqqah,35.95,39.0167,305.89,13,15,3.34,SY,1683793349
142,birao,10.2849,22.7882,303.7,43,99,3.86,CF,1683793350
143,hithadhoo,-0.6,73.0833,301.75,77,78,6.28,MV,1683793350
144,salinopolis,-0.6136,-47.3561,298.98,87,75,3.2,BR,1683793351
145,huarmey,-10.0681,-78.1522,295.2,87,74,2.59,PE,1683793352
146,qaqortoq,60.7167,-46.0333,274.82,96,100,1.42,GL,1683793352
147,opuwo,-18.0607,13.84,299.48,22,9,3.22,NA,1683793353
148,la passe,45.5549,-0.8967,287.06,75,48,4.68,FR,1683793354
149,fale old settlement,-9.3852,-171.2468,302.65,78,5,7.67,TK,1683793355
150,harstad,68.799,16.5293,282.73,94,100,7.6,NO,1683793356
151,meadow lake,34.8014,-106.5436,284.98,51,59,3.38,US,1683793356
152,east london,-33.0153,27.9116,298.67,33,0,4.12,ZA,1683793357
153,alice springs,-23.7,133.8833,292.9,22,0,3.6,AU,1683793357
154,severodvinsk,64.5635,39.8302,287.35,51,100,5.73,RU,1683793358
155,vaxjo,56.8777,14.8091,290.51,42,0,3.6,SE,1683793359
156,lihue,21.9789,-159.3672,296.92,82,100,5.66,US,1683793359
157,santa ana,33.7456,-117.8678,288.54,85,20,2.57,US,1683792838
158,howard springs,-12.497,131.047,303.7,47,100,3.23,AU,1683793360
159,kushiro,42.975,144.3747,278.68,100,75,4.12,JP,1683793361
160,asaita,11.5636,41.4394,307.74,42,17,1.67,ET,1683793362
161,ijui,-28.3878,-53.9147,282.89,85,0,2.16,BR,1683793362
162,springbok,-29.6643,17.8865,288.47,39,20,0.51,ZA,1683793363
163,porto novo,6.4965,2.6036,304.05,71,100,3.38,BJ,1683793363
164,syktyvkar,61.6764,50.8099,284.0,37,0,2.0,RU,1683793201
165,isangel,-19.55,169.2667,298.24,76,95,7.35,VU,1683793364
166,santa cruz del sur,20.7147,-77.9956,297.93,84,10,4.0,CU,1683793365
167,acarau,-2.8856,-40.12,298.06,86,9,3.67,BR,1683793090
168,rumoi,43.9344,141.6428,279.29,65,26,2.79,JP,1683793121
169,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,100,100,5.0,RU,1683793320
170,carrizal,10.3499,-66.9863,292.76,75,100,0.55,VE,1683793367
171,bassila,9.0081,1.6654,298.85,68,100,2.84,BJ,1683793368
172,mineral del monte,20.1333,-98.6667,286.26,54,18,1.98,MX,1683793368
173,kiknur,57.3034,47.2011,288.52,52,15,2.52,RU,1683793369
174,arraial do cabo,-22.9661,-42.0278,294.73,84,96,4.71,BR,1683793370
175,santa cruz do capibaribe,-7.9575,-36.2047,291.88,97,7,0.97,BR,1683793370
176,susuman,62.7833,148.1667,278.09,72,97,3.62,RU,1683793371
177,toliara,-23.35,43.6667,301.2,54,100,3.04,MG,1683793371
178,suntar,62.1444,117.6319,278.58,44,100,3.15,RU,1683793372
179,sinan,34.8262,126.1086,292.21,83,100,1.58,KR,1683793372
180,eyl,7.9803,49.8164,306.53,50,100,7.33,SO,1683793373
181,anadyr,64.75,177.4833,274.43,80,0,1.0,RU,1683793374
182,tahla,34.0485,-4.428,293.69,44,100,1.61,MA,1683793374
183,bel ombre,-4.6167,55.4167,303.06,70,20,4.63,SC,1683793375
